wn_synset,wn_definition,wn_ili,wn_members,wn_wd_qid
01781262-n,a species of hard-bodied tick; transmits Lyme disease spirochete to cottontail rabbits and wood rats (Ixodes dentatus),i44634,Ixodes dentatus,Q10538610
01781442-n,a species of hard-bodied tick; transmits Lyme disease spirochete to cottontail rabbits and wood rats (Ixodes spinipalpis),i44635,Ixodes spinipalpis,Q10538746
01785157-n,small web-spinning mite; a serious orchard pest,i44658,red spider|red spider mite|Panonychus ulmi,Q640085
01786347-n,minute arthropod often infesting the underground parts of truck-garden and greenhouse crops,i44664,garden centipede|garden symphilid|symphilid|Scutigerella immaculata,Q6497995
01788308-n,long-legged centipede common in damp places as e.g. cellars,i44674,house centipede|Scutigera coleoptrata,Q367643
01789832-n,used in some classifications; includes the orders Xiphosura and Eurypterida,i44682,Merostomata|class Merostomata,Q19105
01794266-n,a domestic fowl bred for flesh or eggs; believed to have been developed from the red jungle fowl,i44707,chicken|Gallus gallus,Q184774
01798541-n,a black grouse of western Asia,i44735,Asian black grouse|Lyrurus mlokosiewiczi,Q845408
01799160-n,reddish-brown grouse of upland moors of Great Britain,i44740,red grouse|moorfowl|moorbird|moor-bird|moorgame|Lagopus scoticus,Q40655821
01799948-n,North American grouse that feeds on evergreen buds and needles,i44746,spruce grouse|Canachites canadensis,Q117253054
01801347-n,the most common variety of prairie chicken,i44755,greater prairie chicken|Tympanuchus cupido,Q19630
01804120-n,Australian mound bird; incubates eggs naturally in sandy mounds,i44772,mallee fowl|leipoa|lowan|Leipoa ocellata,Q901228
01804517-n,black megapode of wooded regions of Australia and New Guinea,i44775,brush turkey|Alectura lathami,Q632066
01806003-n,common pheasant having bright plumage and a white neck ring,i44782,ring-necked pheasant|Phasianus colchicus,Q25432
01806282-n,both sexes are brightly colored,i44784,afropavo|Congo peafowl|Afropavo congensis,Q338996
01807711-n,the typical Old World quail,i44794,migratory quail|Coturnix coturnix|Coturnix communis,Q28358
01810469-n,common European partridge,i44813,Hungarian partridge|grey partridge|gray partridge|Perdix perdix,Q26106
01810932-n,of mountainous areas of southern Europe,i44816,Greek partridge|rock partridge|Alectoris graeca,Q492684
01815303-n,pale grey Eurasian pigeon having black-striped wings from which most domestic species are descended,i44841,rock dove|rock pigeon|Columba livia,Q42326
01816173-n,the common European wild dove noted for its plaintive cooing,i44846,Streptopelia turtur,Q168514
01817911-n,gregarious North American migratory pigeon now extinct,i44859,passenger pigeon|Ectopistes migratorius,Q191968
01818658-n,sandgrouse of India,i44863,painted sandgrouse|Pterocles indicus,Q127884
01818781-n,sandgrouse of Europe and Africa having elongated middle tail feathers,i44864,pin-tailed sandgrouse|pin-tailed grouse|Pterocles alchata,Q753741
01819115-n,Eurasiatic sandgrouse with a black patch on the belly,i44866,pallas's sandgrouse|Syrrhaptes paradoxus,Q128002
01820594-n,commonly domesticated grey parrot with red-and-black tail and white face; native to equatorial Africa,i44873,African grey|African gray|Psittacus erithacus,Q220328
01821954-n,white cockatoo with a yellow erectile crest,i44882,sulphur-crested cockatoo|Kakatoe galerita|Cacatua galerita,Q207107
01823717-n,a kind of lorikeet,i44894,rainbow lorikeet|Trichoglossus moluccanus,Q1809222
01824941-n,African parakeet,i44901,ring-necked parakeet|Psittacula krameri,Q208060
01827390-n,common coucal of India and China,i44916,crow pheasant|Centropus sinensis,Q767112
01827503-n,Australian bird with a tail like a pheasant,i44917,pheasant coucal|pheasant cuckoo|Centropus phasianinus,Q369680
01829321-n,common European blue-and-green roller with a reddish-brown back,i44927,European roller|Coracias garrulus,Q179367
01832683-n,pinkish-brown hoopoe with black-and-white wings,i44948,Upupa epops|European hoopoe,Q25247
01835753-n,swift of eastern Asia; produces the edible bird's nest,i44967,swiftlet|Collocalia inexpectata,Q41214676
01836818-n,a kind of hummingbird,i44973,Archilochus colubris,Q834843
01838410-n,Old World goatsucker,i44982,European goatsucker|European nightjar|Caprimulgus europaeus,Q26717
01841727-n,woodpecker of Europe and western Asia,i45000,green woodpecker|Picus viridis,Q166171
01842391-n,large flicker of eastern North America with a red neck and yellow undersurface to wings and tail,i45005,yellow-shafted flicker|Colaptes auratus|yellowhammer,Q16819
01843929-n,eastern North American sapsucker having a pale yellow abdomen,i45014,yellow-bellied sapsucker|Sphyrapicus varius,Q934735
01850619-n,a dusky duck of northeastern United States and Canada,i45053,black duck|Anas rubripes,Q845292
01853194-n,North American goldeneye diving duck,i45070,Barrow's goldeneye|Bucephala islandica,Q369767
01853848-n,North American diving duck with a grey-and-black body and reddish-brown head,i45074,redhead|Aythya americana,Q692192
01854783-n,showy North American duck that nests in hollow trees,i45080,wood duck|summer duck|wood widgeon|Aix sponsa,Q322159
01855041-n,showy crested Asiatic duck; often domesticated,i45082,mandarin duck|Aix galericulata,Q200339
01856307-n,a variety of scoter,i45090,common scoter|Melanitta nigra,Q27434
01856511-n,a common long-tailed sea duck of the northern parts of the United States,i45092,old squaw|oldwife|Clangula hyemalis,Q26597
01858117-n,small North American duck with a high circular crest on the male's head,i45101,hooded merganser|hooded sheldrake|Lophodytes cucullatus,Q241349
01859021-n,very large wild goose of northeast Asia; interbreeds freely with the greylag,i45106,Chinese goose|Anser cygnoides,Q31354
01862137-n,swan that nests in tundra regions of the New and Old Worlds,i45126,tundra swan|Cygnus columbianus,Q26603
01863505-n,screamer having a hornlike process projecting from the forehead,i45134,horned screamer|Anhima cornuta,Q732753
01863971-n,largest crested screamer; native to southern Brazil and Argentina,i45137,chaja|Chauna torquata,Q602961
01877954-n,omnivorous opossum of the eastern United States; noted for feigning death when in danger; esteemed as food in some areas; considered same species as the crab-eating opossum of South America,i45164,common opossum|Didelphis virginiana|Didelphis marsupialis,Q194663
01879308-n,bandicoot with leathery ears like a rabbit,i45172,rabbit-eared bandicoot|rabbit bandicoot|bilby|Macrotis lagotis,Q371667
01880247-n,very large greyish-brown Australian kangaroo formerly abundant in open wooded areas,i45176,giant kangaroo|great grey kangaroo|Macropus giganteus,Q270098
01884498-n,bushy-tailed phalanger,i45203,brush-tailed phalanger|Trichosurus vulpecula,Q732477
01885355-n,sluggish tailless Australian arboreal marsupial with grey furry ears and coat; feeds on eucalyptus leaves and bark,i45209,koala|koala bear|kangaroo bear|native bear|Phascolarctos cinereus,Q36101
01886844-n,carnivorous arboreal cat-like marsupials of Australia and Tasmania,i45217,native cat|Dasyurus viverrinus,Q194516
01892490-n,amphibious mole of eastern North America having pink fleshy tentacles around the nose,i45246,starnose mole|star-nosed mole|Condylura cristata,Q547663
01892785-n,mole of eastern North America,i45248,brewer's mole|hair-tailed mole|Parascalops breweri,Q1470645
01893654-n,shrew mole of eastern Asia,i45254,Asiatic shrew mole|Uropsilus soricipes,Q1767402
01894671-n,common American shrew,i45260,common shrew|Sorex araneus,Q591450
01894786-n,commonest shrew of moist habitats in North America,i45261,masked shrew|Sorex cinereus,Q469038
01895026-n,North American shrew with tail less than half its body length,i45263,short-tailed shrew|Blarina brevicauda,Q1766543
01895385-n,water shrew of North America,i45265,American water shrew|Sorex palustris,Q2043191
01895662-n,widely distributed Old World water shrew,i45267,European water shrew|Neomys fodiens,Q465986
01895805-n,a type of water shrew,i45268,Mediterranean water shrew|Neomys anomalus,Q613721
01896040-n,small brown shrew of grassy regions of eastern United States,i45270,least shrew|Cryptotis parva,Q1764011
01896466-n,small nocturnal Old World mammal covered with both hair and protective spines,i45273,hedgehog|Erinaceus europaeus|Erinaceus europeaeus,Q6145
01897163-n,prolific animal that feeds chiefly on earthworms,i45277,tailless tenrec|Tenrec ecaudatus,Q852769
01897597-n,amphibious African insectivorous mammal that resembles an otter,i45280,otter shrew|potamogale|Potamogale velox,Q474780
01914044-n,a type of jellyfish,i45378,Chrysaora quinquecirrha,Q2118900
01923700-n,ctenophore having a ribbon-shaped iridescent gelatinous body,i45436,Venus's girdle|Cestum veneris,Q2469009
01929020-n,flatworm parasitic in liver and bile ducts of domestic animals and humans,i45462,liver fluke|Fasciola hepatica,Q334149
01933781-n,intestinal parasite of domestic fowl,i45489,chicken roundworm|Ascaridia galli,Q3503323
01934792-n,minute eelworm that feeds on organisms that cause fermentation in e.g. vinegar,i45496,vinegar eel|vinegar worm|Anguillula aceti|Turbatrix aceti,Q1368890
01941095-n,large European freshwater leech formerly used for bloodletting,i45529,medicinal leech|Hirudo medicinalis,Q30041
01945728-n,an abalone found near the Channel Islands,i45545,ormer|sea-ear|Haliotis tuberculata,Q1552190
01947453-n,one of the chief edible snails,i45555,edible snail|Helix pomatia,Q245314
01947981-n,a kind of garden snail,i45558,Helix hortensis,Q40470822
01949468-n,gastropod having reddish toothlike projections around the shell opening; of the Caribbean area,i45567,bleeding tooth|Nerita peloronta,Q3173997
01951726-n,marine limpet,i45582,common limpet|Patella vulgata,Q182258
01952140-n,marine limpet having a conical shell with an opening at the apex,i45585,keyhole limpet|Fissurella apertura|Diodora apertura,Q3739561
01952614-n,minute conical gastropod superficially resembling a limpet but living and feeding on freshwater plants,i45588,river limpet|freshwater limpet|Ancylus fluviatilis,Q1434354
01953915-n,naked marine gastropod having a soft body with reduced internal shell and two pairs of ear-like tentacles,i45594,sea hare|Aplysia punctata,Q520464
01954254-n,a kind of sea slug,i45596,Hermissenda crassicornis,Q522625
01956235-n,cowrie whose shell is used for money in parts of the southern Pacific and in parts of Africa,i45608,money cowrie|Cypraea moneta,Q11176238
01965147-n,thin-shelled bivalve having the right valve deeply notched,i45659,saddle oyster|Anomia ephippium,Q204259
01966912-n,a mussel with a dark shell that lives attached to rocks,i45670,edible mussel|Mytilus edulis,Q27855
01968170-n,inch long mollusk imported accidentally from Europe; clogs utility inlet pipes and feeds on edible freshwater mussels,i45678,zebra mussel|Dreissena polymorpha,Q752130
01969227-n,a large scallop inhabiting deep waters of the Atlantic coast of North America,i45683,sea scallop|giant scallop|Pecten magellanicus,Q106066216
01973308-n,cephalopod mollusk of warm seas whose females have delicate papery spiral shells,i45707,paper nautilus|nautilus|argonaut|Argonauta argo,Q39514
01980126-n,large edible crab of the southern coast of the United States (particularly Florida),i45739,stone crab|Menippe mercenaria,Q5461759
01981096-n,crab of eastern coast of North America,i45745,rock crab|Cancer irroratus,Q590283
01982515-n,bluish edible crab of Atlantic and Gulf Coasts of North America,i45754,blue crab|Callinectes sapidus,Q844839
01983471-n,tiny soft-bodied crab living within the mantle cavity of oysters,i45760,oyster crab|Pinnotheres ostreum,Q40628380
01984988-n,very large deep-water Japanese crab,i45769,giant crab|Macrocheira kaempferi,Q273655
01986470-n,small lobster of southern Africa,i45777,Cape lobster|Homarus capensis,Q40481921
01986886-n,edible European lobster resembling the American lobster but slenderer,i45780,Norway lobster|Nephrops norvegicus,Q551915
01991510-n,food for jellyfish,i45808,Euphausia pacifica,Q992625
01998340-n,common to saline lakes,i45849,brine shrimp|Artemia salina,Q1135229
02001395-n,barnacle that attaches to rocks especially in intertidal zones,i45867,acorn barnacle|rock barnacle|Balanus balanoides,Q40982388
